mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD,destination_id,mine_processed_quantity_tons_fraction
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,52.14590134975122,41.37077137838155,mine_3692,0.10075007322134032
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,5.7503054859513805,4.56209534129153,mine_3696,0.011110052444369923
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,196.09386915717263,155.5741567336501,mine_3702,0.3788691184630434
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,0.7892384504834591,0.626154743763674,mine_3704,0.0015248721302558333
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,75.36583114324513,59.79266805757837,mine_3749,0.14561284414552253
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,,,,
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,0.36671738380925145,0.3955987528968195,mine_3502,1.0
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,,,,
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,,,,
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,ZWE,Africa,0,Africa,1,0.143,0.011,7.299485509571937e-08,,,,
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,,,,
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,,,,
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,1.5444617471645057,1.225323030012278,mine_3553,0.0069586113426095214
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,44.01491569070844,34.91992596054197,mine_3555,0.19831031239956143
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,5.687348544223718,4.512147460912057,mine_3559,0.025624492262023978
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,11.959302170410124,9.488100562660616,mine_3575,0.05388293746057183
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,10.616660096984456,8.422894346545329,mine_3664,0.04783362974650419
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,6.5526337080458354,5.198635061337073,mine_3670,0.029523056384197083
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,22.361449210645304,17.740807600160718,mine_3692,0.10075007322134032
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,2.4658728824602107,1.9563390530768687,mine_3696,0.011110052444369923
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,84.089889755026,66.71403723478042,mine_3702,0.3788691184630434
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,0.33844492220400496,0.26851060463533094,mine_3704,0.0015248721302558333
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,32.31872806309803,25.640571460654048,mine_3749,0.14561284414552253
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,,,,
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,0.15725746301152807,0.1696425067305707,mine_3502,1.0
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,,,,
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,,,,
mine_1747,ZAF,Copper,,,,,,,,,,,,,,,0.0,8185.837731893222,ZAF,ZWE,Africa,0,Africa,1,0.143,0.011,7.299485509571937e-08,,,,
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,,,,
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,,,,
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,19.20820090474194,15.239128438689681,mine_3553,0.0069586113426095214
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,547.4058162622495,434.29301804349575,mine_3555,0.19831031239956143
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,70.73256016427894,56.116789619515565,mine_3559,0.025624492262023978
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,148.73575159209568,118.00184895907827,mine_3575,0.05388293746057183
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,132.03754670818242,104.75406535959036,mine_3664,0.04783362974650419
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,81.49396056613524,64.65451596449405,mine_3670,0.029523056384197083
mine_1759,ZAF,Zinc,Lead,Copper,Silver,IronOre,,,,,,,,,,,0.0,101805.8336611392,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,278.1054368927068,220.6393244908016,mine_3692,0.10075007322134032
