mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,JPN,Africa,1,Asia,0,5348.791,581.286,0.0005971490660900429,1.4447672108770673,13.294243891362187
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,KOR,Africa,1,Asia,0,56906.789000000004,6300.8589999999995,0.006472806961487189,15.660577553148824,141.4399500822311
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,KWT,Africa,1,Asia,0,55118.896,6255.581,0.006426293342692955,15.548040575182572,136.99620090720086
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,LKA,Africa,1,Asia,0,14697.013,1564.66,0.00160735895539966,3.8889109047369326,36.52894182938176
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,LUX,Africa,1,Europe,1,186321.727,20504.854,0.021064423392981566,50.964139378931336,463.09651676384505
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,MUS,Africa,1,Africa,0,17410.129,1872.476,0.0019235751328537404,4.653977436157499,43.27230230272181
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,MYS,Africa,1,Asia,0,34297.742,3798.39,0.0039020465676891554,9.440773261567188,85.24590829423254
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,NLD,Africa,1,Europe,0,413.813,42.244,4.3396822128707345e-05,0.10499607087783094,1.028518584370984
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,PAK,Africa,1,Asia,0,64395.09,7296.06,0.007495166604970564,18.134116866037953,160.0518756231489
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,SAU,Africa,1,Asia,0,22024.047,2484.19,0.0025519825670844024,6.174372439020899,54.740043552425895
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,SGP,Africa,1,Asia,0,1337861.581,153285.857,0.15746896768950547,380.9869497713535,3325.210902930664
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,THA,Africa,1,Asia,0,69188.8,7811.292,0.0080244590834058,19.414709035115848,171.96648396818648
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,TWN,Africa,1,Asia,0,64257.596,7066.149,0.007258981424295599,17.562680646655483,159.71013881391502
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,USA,Africa,1,North America,0,116467.02,13013.292000000001,0.013368419615399354,32.344108729900356,289.4749428759056
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,ZAF,Africa,1,Africa,0,65466.456,5441.384999999999,0.0055898782543986406,13.524383229182039,162.71472053537545
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,ZWE,Africa,1,Africa,1,7089.902,745.737,0.0007660878691363466,1.8535047558995599,17.621717945953872
mine_3589,ZMB,Copper,,,,,,,,,,,,,,,1.0,19720.70719393417,ZMB,ARE,Africa,1,Asia,0,77956.538,8794.04,0.009034025889421872,178.15737934770945,1579.3119559497256
mine_3589,ZMB,Copper,,,,,,,,,,,,,,,1.0,19720.70719393417,ZMB,AUS,Africa,1,Oceania,0,8187.213,879.22,0.0009032135676546272,17.812010301305556,165.86374547324078
mine_3589,ZMB,Copper,,,,,,,,,,,,,,,1.0,19720.70719393417,ZMB,CAN,Africa,1,North America,0,105098.643,12064.18,0.012393406722580925,244.40674511135373,2129.180537031954
mine_3589,ZMB,Copper,,,,,,,,,,,,,,,1.0,19720.70719393417,ZMB,CHE,Africa,1,Europe,1,4459202.51,468979.037,0.481777290284572,9500.98887438907,90338.43752840879
mine_3589,ZMB,Copper,,,,,,,,,,,,,,,1.0,19720.70719393417,ZMB,CHN,Africa,1,Asia,0,1920899.636,221960.25100000002,0.22801745886493316,4496.6655413802755,38915.27047178872
