mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_approx_copper_export,id,iso3
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,1.33703830991002,port16_land,KAZ
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,1.33703830991002,port100_land,KAZ
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,933.1828815959113,port535_land,KHM
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,767.7311425539486,port915_land,KOR
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,708.1729816954602,port672_land,MYS
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,249.79894306075437,port1114_land,NLD
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,OMN,Africa,0,Asia,0,14167.797,1489.97,0.0092729751484739,536.5329842759581,port988_land,OMN
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,RUS,Africa,0,Europe,0,4.159,0.122,7.592790244862755e-07,0.043931773177759884,port1095_land,RUS
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,SGP,Africa,0,Asia,0,218.142,403.78,0.0025129646271071174,145.39976535832693,port1201_land,SGP
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,THA,Africa,0,Asia,0,20629.653,2652.332,0.01650704961945682,955.0954739025756,port701_land,THA
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,ARE,Africa,0,Asia,0,5627.817,661.543,0.004117178063079706,2.3403031005288772,port747_land,ARE
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,3.833510459695755,port955_land,AUS
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,0.7064072086363362,port57_land,BEL
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,2.843285211794805,port1355_land,BGR
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,1.2735515547596992,port1114_land,CHE
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,207.97498411729958,port1195_land,CHN
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,3.2282869220850774,port446_land,DEU
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,5.2019734440739205,port635_land,ESP
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,0.07904509983208534,port493_land,GBR
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,279.1260843041464,port1367_land,IND
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,19.564433414660392,port1004_land,ITA
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.013135269230063232,port16_land,KAZ
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,KAZ,Africa,0,Asia,1,37.138,3.713,2.31082214583405e-05,0.013135269230063232,port100_land,KAZ
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,KHM,Africa,0,Asia,0,2580.372,2591.48,0.016128331199800765,9.167731619801849,port535_land,KHM
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,KOR,Africa,0,Asia,0,8021.058,2132.015,0.013268805486804152,7.542308383391667,port915_land,KOR
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,MYS,Africa,0,Asia,0,17364.456,1966.62,0.012239453402747534,6.957199885059778,port672_land,MYS
mine_2299,ZAF,Platinum,Copper,Palladium,,,,,,,,,,,,,1.0,568.424067327877,ZAF,NLD,Africa,0,Europe,0,6347.76,693.7,0.004317310322017454,2.4540630931577874,port1114_land,NLD
