origin_id,destination_id,reference_mineral,process_binary,export_country_code,import_country_code,export_continent,import_continent,mine_output_tons,mine_output_thousandUSD
mine_2852,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.009498838454114339,0.0007036176632677287
mine_2859,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,700.0095218791819,2567.3983940133385
mine_2859,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,25.672267650011044,9.972789804229453
mine_2859,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,95.34106048958506,257.56365866005865
mine_2859,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.026316448542597223,0.060642250989463166
mine_2859,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.004576773659582126,0.05606547732988104
mine_2859,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,114985.51928446567,233926.1193133036
mine_2859,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.0034325802446865945,0.016018707808537442
mine_2859,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.12586127563850846,1.752904311619954
mine_2859,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.029749028787283815,0.08581450611716486
mine_2859,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.8741637689801861,1.0606672956081578
mine_2859,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,597.8410592829152,560.1147140069797
mine_2859,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,9189.428080461961,4228.476607314266
mine_2859,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,1437.5588855076714,551.0160879717305
mine_2859,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.0800935390426872,2.9096838540793364
mine_2859,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.009153547319164252,2.3089823112591823
mine_2859,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.020595481468119563,0.1533219175960012
mine_2859,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,2387.0437627970155,2852.740780400231
mine_2859,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.30893222202179355,0.022883868297910632
mine_2921,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,97.02240778852044,355.8454080322455
mine_2921,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,3.5582161998437924,1.3822441680188302
mine_2921,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,13.214419176725222,35.69872343298288
mine_2921,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.003647500672835371,0.008405110246098899
mine_2921,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.0006343479431018036,0.007770762302997095
mine_2921,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,15937.171699955401,32422.523738639455
mine_2921,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.0004757609573263527,0.0022202178008563127
mine_2921,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.0174445684352996,0.24295526220799077
mine_2921,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.004123261630161724,0.01189402393315882
mine_2921,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.12116045713244451,0.147010135813843
mine_2921,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,82.86170006767311,77.63276997268495
mine_2921,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,1273.6690154905398,586.0734302838133
mine_2921,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,199.24789599334767,76.37168626179856
mine_2921,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.011101089004281564,0.40328670482697165
mine_2921,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.0012686958862036073,0.3200285372948599
mine_2921,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.002854565743958116,0.02125065609391042
mine_2921,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,330.8479758124043,395.3943063058848
mine_2921,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.04281848615937175,0.003171739715509018
mine_2956,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,0.43260983873947095,1.586666710236243
mine_2956,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,0.015865606425371836,0.006163240433370812
mine_2956,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,0.05892131394573844,0.15917579597911158
mine_2956,port506_land,copper,0.0,ZAF,BRA,Africa,South America,1.6263713855843124e-05,3.7477253667812416e-05
mine_2956,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,2.828471974929239e-06,3.4648781692883184e-05
mine_2956,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,71.06170044871556,144.56766313893786
mine_2956,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,2.121353981196929e-06,9.899651912252337e-06
mine_2956,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,7.778297931055407e-05,0.0010833047663978985
mine_2956,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,1.8385067837040053e-05,5.303384952992323e-05
mine_2956,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.0005402381472114847,0.0006554983801898512
mine_2956,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,0.3694691517251319,0.34615405723579024
mine_2956,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,5.67911846302393,2.6132224291651496
mine_2956,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,0.8884195117353054,0.3405310549496309
mine_2956,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,4.9498259561261684e-05,0.0017982010580612636
mine_2956,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,5.656943949858478e-06,0.001426964111351801
mine_2956,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,1.2728123887181574e-05,9.475381116012951e-05
mine_2956,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,1.4752065293561942,1.7630099168671878
mine_2956,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.00019092185830772365,1.4142359874646197e-05
mine_2957,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,403.34652175729445,1479.338751579546
mine_2957,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,14.79239858688873,5.746336234047428
mine_2957,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,54.93566005486875,148.4085610331857
mine_2957,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.015163576569881924,0.03494215470451052
mine_2957,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.002637143751283813,0.03230501095322671
mine_2957,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,66254.82626484946,134788.57590381146
mine_2957,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.0019778578134628595,0.009230003129493345
mine_2957,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.07252145316030485,1.0100260567417003
mine_2957,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.017141434383344784,0.04944644533657149
mine_2957,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.5036944564952083,0.6111580643600236
mine_2957,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,344.4769025114481,322.7389265696156
mine_2957,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,5294.962050291753,2436.4544746673632
mine_2957,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,828.3235558485566,317.4962847920634
mine_2957,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.04615001564746673,1.6765641398786841
mine_2957,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.005274287502567626,1.3304390225226836
